date,open,high,low,close,volume,ignore
2013-03-26,18.73,18.88,18.48,18.59,15781800,18.59
2013-03-25,18.73,18.82,18.42,18.63,24340200,18.63
2013-03-22,18.55,18.71,18.46,18.63,16137700,18.63
2013-03-21,18.72,18.86,18.49,18.53,21978600,18.53
2013-03-20,19.05,19.16,18.68,18.85,27636600,18.85
2013-03-19,18.90,19.35,18.83,19.10,33822900,19.10
2013-03-18,18.90,19.35,18.84,19.20,40451100,19.20
2013-03-15,19.40,19.55,19.01,19.09,43819400,19.09
2013-03-14,18.98,19.38,18.60,19.38,27172500,19.38
2013-03-13,18.81,19.20,18.73,18.76,31665300,18.76
2013-03-12,18.85,19.14,18.63,18.74,26135700,18.74
2013-03-11,18.29,18.97,17.92,18.93,25088800,18.93
2013-03-08,18.79,19.32,18.16,18.37,30589700,18.37
2013-03-07,18.31,19.58,18.31,18.95,62419400,18.95
2013-03-06,17.60,18.27,17.22,18.05,73898000,18.05
2013-03-05,16.63,16.76,16.47,16.56,31669900,16.56
2013-03-04,16.82,17.10,16.48,16.50,35543300,16.50
2013-03-01,16.50,17.02,16.40,16.90,31519900,16.90
2013-02-28,16.76,16.85,16.55,16.61,27829200,16.61